Ano,Indicador,N válido,Média,Desvio-padrão,Mediana
2018,NECr,786,2.9621418990773116,3.1695848175911894,1.8781287826229383
2018,D = C − NECr,786,6.446255047487574,12.600461263089056,1.924042966480206
2018,Q = C / NECr,786,3.2948552800688793,4.329094103802894,1.9469058205584957
2018,NECr / Mp (Mp > 0),290,1.7894284355599281,1.2575956532938057,1.3695558829700736
2018,NECr / E (E > 0),300,2.1299299708907187,1.7547584494685422,1.6324914131869772
2022,NECr,648,5.9020966888888005,4.8747390912118,4.8144236052308536
2022,D = C − NECr,648,8.519199607407495,11.568893389058491,4.0
2022,Q = C / NECr,648,2.666839095909836,2.498581866341325,1.8640930724388212
2022,NECr / Mp (Mp > 0),250,4.346231842312863,2.9270962305518085,3.5341131324823323
2022,NECr / E (E > 0),207,3.9809215746339506,2.9854287373058517,3.1496042517401555
2018,Competitivos (F),859,1.0919674039580909,1.7639667680665132,1.0
2018,Competitivos na lista (%),859,22.83753785396627,31.568058160919662,5.2631578947368425
2022,Competitivos (F),711,1.7932489451476794,2.8666630733253595,1.0
2022,Competitivos na lista (%),711,12.839540471961897,16.690603913690765,5.555555555555555
